time_s,v_in_small_v,v_out_small_v,v_in_large_v,v_out_large_v
3.914063e-3,-5.141027e-2,-4.276812e-2,-1.028205e0,-6.087067e-1
3.921875e-3,-4.713967e-2,-4.295502e-2,-9.427935e-1,-6.074790e-1
3.929688e-3,-4.275551e-2,-4.301463e-2,-8.551102e-1,-6.157913e-1
3.937500e-3,-3.826834e-2,-4.297296e-2,-7.653669e-1,-6.324232e-1
3.945313e-3,-3.368899e-2,-4.283564e-2,-6.737797e-1,-6.481219e-1
3.953125e-3,-2.902847e-2,-4.260291e-2,-5.805694e-1,-6.531854e-1
3.960938e-3,-2.429802e-2,-4.226477e-2,-4.859604e-1,-6.450550e-1
3.968750e-3,-1.950903e-2,-4.180628e-2,-3.901806e-1,-6.286404e-1
3.976563e-3,-1.467305e-2,-4.125490e-2,-2.934609e-1,-6.132155e-1
3.984375e-3,-9.801714e-3,-4.061163e-2,-1.960343e-1,-6.044368e-1
3.992188e-3,-4.906767e-3,-3.987751e-2,-9.813535e-2,-5.971200e-1
4.000000e-3,-9.797174e-17,-3.902980e-2,-1.959435e-15,-5.581518e-1
4.007813e-3,4.906767e-3,-3.808568e-2,9.813535e-2,-4.175422e-1
4.015625e-3,9.801714e-3,-3.705689e-2,1.960343e-1,-1.795959e-1
4.023438e-3,1.467305e-2,-3.594524e-2,2.934609e-1,1.292531e-2
4.031250e-3,1.950903e-2,-3.474840e-2,3.901806e-1,3.911040e-2
4.039063e-3,2.429802e-2,-3.344815e-2,4.859604e-1,-9.432943e-2
4.046875e-3,2.902847e-2,-3.207395e-2,5.805694e-1,-1.104511e-1
4.054688e-3,3.368899e-2,-3.062820e-2,6.737797e-1,2.836481e-1
4.062500e-3,3.826834e-2,-2.911339e-2,7.653669e-1,7.210494e-1
4.070313e-3,4.275551e-2,-2.751862e-2,8.551102e-1,1.151207e0
4.078125e-3,4.713967e-2,-2.585259e-2,9.427935e-1,1.458057e0
4.085938e-3,5.141027e-2,-2.412929e-2,1.028205e0,1.466027e0
4.093750e-3,5.555702e-2,-2.235172e-2,1.111140e0,1.221327e0
4.101563e-3,5.956993e-2,-2.052294e-2,1.191399e0,9.589986e-1
4.109375e-3,6.343933e-2,-1.863033e-2,1.268787e0,7.846798e-1
4.117188e-3,6.715590e-2,-1.669702e-2,1.343118e0,8.232037e-1
4.125000e-3,7.071068e-2,-1.472648e-2,1.414214e0,1.070645e0
4.132813e-3,7.409511e-2,-1.272215e-2,1.481902e0,1.359826e0
4.140625e-3,7.730105e-2,-1.068361e-2,1.546021e0,1.492653e0
4.148438e-3,8.032075e-2,-8.616234e-3,1.606415e0,1.387210e0
4.156250e-3,8.314696e-2,-6.530252e-3,1.662939e0,1.143663e0
4.164063e-3,8.577286e-2,-4.429306e-3,1.715457e0,1.022898e0
4.171875e-3,8.819213e-2,-2.317059e-3,1.763843e0,1.331543e0
4.179688e-3,9.039893e-2,-1.973366e-4,1.807979e0,1.722683e0
4.187500e-3,9.238795e-2,1.921916e-3,1.847759e0,2.107676e0
4.195313e-3,9.415441e-2,4.036678e-3,1.883088e0,2.431589e0
4.203125e-3,9.569403e-2,6.143256e-3,1.913881e0,2.524074e0
4.210938e-3,9.700313e-2,8.235939e-3,1.940063e0,2.328274e0
4.218750e-3,9.807853e-2,1.030495e-2,1.961571e0,2.010527e0
4.226563e-3,9.891765e-2,1.235021e-2,1.978353e0,1.791219e0
4.234375e-3,9.951847e-2,1.436818e-2,1.990369e0,1.815873e0
4.242188e-3,9.987955e-2,1.635531e-2,1.997591e0,2.037373e0
